ID,DayofMonth,Weekday,Month,Social_Network_Ref_links,Online_Ad_Paid_ref_links,Clicks_From_Serach_Engine,Special_Discount,Holiday,Server_Down_time_Sec,Web_UI_Score,Sales
509,24,6,5,1069,1554,1169,0,0,10,76,38087
510,25,7,5,1204,1957,1648,1,0,7,67,44962
511,26,1,5,1371,2217,1774,1,0,5,74,42447
512,27,2,5,850,1566,1279,0,0,23,72,28562
513,28,3,5,783,2170,1650,0,0,0,72,32944
514,29,4,5,822,2439,2248,0,0,1,78,36070
515,30,5,5,1358,2062,1691,0,0,28,81,31904
516,31,6,5,1299,2384,1988,0,0,14,62,46337
517,1,7,6,422,1841,1447,0,0,25,65,32223
518,2,1,6,1090,2484,2358,0,0,0,83,35895
519,3,2,6,384,1566,995,0,0,19,60,24958
520,4,3,6,1139,1996,1584,1,1,20,63,52711
521,5,4,6,349,1443,1248,0,0,2,93,26252
522,6,5,6,1207,2590,2210,0,0,21,85,34499
523,7,6,6,745,1780,1394,1,0,12,100,39396
524,8,7,6,1003,2042,1508,0,0,27,77,35505
525,9,1,6,350,2010,1902,0,0,0,75,28946
526,10,2,6,479,1835,1456,0,0,13,62,28427
527,11,3,6,621,2427,1849,0,0,25,89,29098
528,12,4,6,313,2379,1803,0,0,24,70,28227
529,13,5,6,1241,2123,1673,0,0,7,75,34661
530,14,6,6,746,2030,1695,0,0,10,65,39637
531,15,7,6,657,1297,978,0,0,20,77,32236
532,16,1,6,1351,1228,864,1,1,30,97,34754
533,17,2,6,1150,1823,1717,0,0,0,75,32552
534,18,3,6,639,1692,1111,0,0,0,63,28647
535,19,4,6,1359,1949,1625,0,0,3,88,34991
536,20,5,6,690,2266,2074,0,0,18,66,30461
537,21,6,6,766,2684,2160,0,0,7,78,42159
538,22,7,6,412,2568,2239,0,0,11,86,38332
539,23,1,6,1228,1695,1333,0,0,10,90,32761
540,24,2,6,761,1192,943,0,0,2,90,26953
541,25,3,6,334,1713,1456,0,0,0,72,28759
542,26,4,6,731,2219,1639,0,0,0,65,35249
543,27,5,6,1247,1809,1612,0,0,20,77,33625
544,28,6,6,851,1710,1195,0,0,9,68,38379
545,29,7,6,1018,2562,2032,0,0,8,74,44566
546,30,1,6,1179,2640,2463,0,0,13,63,38764
547,1,2,7,496,2280,1953,1,0,0,86,37152
548,2,3,7,972,1880,1433,0,0,10,97,32596
549,3,4,7,944,1789,1247,0,0,20,65,30789
550,4,5,7,1311,2693,2217,0,0,18,97,36601
551,5,6,7,1179,1540,1232,0,0,25,100,34028
552,6,7,7,1272,1856,1680,0,0,12,85,40309
553,7,1,7,1057,2313,2106,1,0,10,70,39353
554,8,2,7,848,2654,2410,0,0,26,82,33786
555,9,3,7,946,2228,1957,1,0,21,74,35603
556,10,4,7,445,2278,1914,0,0,13,67,30649
557,11,5,7,376,2055,1832,1,0,23,69,31373
558,12,6,7,588,1767,1435,0,0,0,66,35926
559,13,7,7,1135,1151,994,1,0,25,65,39336
560,14,1,7,1031,1822,1373,0,0,11,67,30327
561,15,2,7,764,1469,1042,1,1,12,88,41412
562,16,3,7,825,2416,1931,1,0,23,75,38152
563,17,4,7,713,1208,930,0,0,11,97,26971
564,18,5,7,1017,1397,1014,0,0,14,72,29672
565,19,6,7,416,1832,1523,0,0,2,90,36124
566,20,7,7,305,1116,889,0,0,3,98,31336
567,21,1,7,1066,2610,2205,0,0,5,71,38130
568,22,2,7,817,2175,1687,0,0,0,77,34299
569,23,3,7,902,2165,1889,0,0,2,87,33900
570,24,4,7,1099,1699,1111,0,0,0,92,31857
571,25,5,7,1191,1920,1803,0,0,29,98,29941
572,26,6,7,691,1962,1484,0,0,0,62,38274
573,27,7,7,406,2528,2194,0,0,16,77,39124
574,28,1,7,374,1241,1106,0,0,0,96,25212
575,29,2,7,993,2228,2009,1,0,0,63,39520
576,30,3,7,329,2329,2185,0,0,0,65,30701
577,31,4,7,1341,1992,1602,1,0,11,62,42039
578,1,5,8,893,1797,1451,0,0,21,66,29361
579,2,6,8,1007,1480,1340,1,0,23,76,41329
580,3,7,8,629,2314,2173,0,0,0,85,39016
581,4,1,8,317,1622,1441,0,0,10,65,26340
582,5,2,8,924,1512,968,0,0,30,63,24091
583,6,3,8,1218,2594,2273,1,0,11,92,43534
584,7,4,8,760,1891,1742,0,0,27,96,26246
585,8,5,8,1150,2280,1682,0,0,0,76,35102
586,9,6,8,499,2462,2304,0,0,13,73,37096
587,10,7,8,388,1618,1078,0,0,14,88,33751
588,11,1,8,1387,1469,1102,0,0,24,63,30398
589,12,2,8,424,1561,1343,0,0,23,79,25362
590,13,3,8,399,1207,775,0,0,14,76,22142
591,14,4,8,1335,1760,1416,0,0,6,93,32825
592,15,5,8,1243,1200,823,0,0,15,73,27683
593,16,6,8,683,2329,2112,0,0,7,69,42151
594,17,7,8,829,1807,1340,0,0,22,78,36119
595,18,1,8,417,2558,2240,0,0,14,95,31537
596,19,2,8,1133,2675,2514,0,0,0,69,39894
597,20,3,8,415,1856,1712,1,1,6,69,48374
598,21,4,8,725,2660,2144,0,0,22,73,31475
599,22,5,8,709,1163,1010,0,0,5,97,25685
600,23,6,8,1082,2662,2238,0,0,26,77,41212
601,24,7,8,1051,2370,2261,1,0,13,96,45805
602,25,1,8,440,2164,1914,0,0,0,72,30249
603,26,2,8,544,1509,1372,0,0,8,93,28694
604,27,3,8,1252,1833,1340,0,0,16,67,34591
605,28,4,8,885,2009,1691,0,0,12,70,34456
606,29,5,8,395,1624,1140,0,0,2,99,29556
607,30,6,8,986,1242,644,0,0,0,63,38587
608,31,7,8,1206,1590,1489,1,0,9,89,44926
609,1,1,9,358,1534,1043,0,0,3,88,25707
610,2,2,9,960,2050,1512,0,0,30,64,28737
611,3,3,9,520,2096,1963,0,0,12,75,28775
612,4,4,9,1209,1625,1313,1,0,7,97,36553
613,5,5,9,1380,1902,1664,1,1,0,87,63392
614,6,6,9,874,2521,1938,0,0,22,73,38545
615,7,7,9,604,2230,2009,1,1,30,64,72083
616,8,1,9,614,1553,1008,0,0,12,93,27090
617,9,2,9,655,1963,1745,0,0,15,98,28187
618,10,3,9,466,2189,1774,1,0,26,60,30359
619,11,4,9,1124,1370,1188,0,0,10,87,30876
620,12,5,9,1049,2193,1991,0,0,2,70,35565
621,13,6,9,1337,2286,1909,0,0,7,99,46089
622,14,7,9,892,2268,1865,0,0,16,86,42867
623,15,1,9,724,1651,1087,0,0,21,88,28500
624,16,2,9,611,1622,1093,0,0,28,76,24296
625,17,3,9,913,1295,1083,0,0,9,69,26928
626,18,4,9,1109,1751,1570,0,0,9,68,31713
627,19,5,9,1373,2681,2121,0,0,12,85,40511
628,20,6,9,1326,1758,1639,1,0,22,77,45163
629,21,7,9,308,1311,1063,1,0,0,84,35879
630,22,1,9,607,1185,1064,0,0,5,83,25608
631,23,2,9,885,2363,2043,0,0,2,89,34829
632,24,3,9,1341,1287,1030,0,0,0,89,32138
633,25,4,9,389,1828,1323,0,0,19,71,26667
634,26,5,9,792,2490,1953,0,0,21,79,34569
635,27,6,9,842,2173,2019,0,0,29,76,39504
636,28,7,9,931,1150,979,0,0,7,100,36785
637,29,1,9,302,2137,1784,0,0,25,77,28246
638,30,2,9,1399,1529,1170,0,0,8,90,34363
639,1,3,10,1015,2531,2398,0,0,30,83,35561
640,2,4,10,994,2350,1831,0,0,2,85,40357
641,3,5,10,1254,2491,2139,0,0,14,89,42414
642,4,6,10,1263,1104,807,0,0,0,62,40028
643,5,7,10,1332,1191,642,0,0,1,99,44043
644,6,1,10,1324,1775,1565,0,0,0,99,37033
645,7,2,10,588,1236,1060,1,0,0,60,32474
646,8,3,10,688,1342,989,0,0,0,90,29909
647,9,4,10,466,1249,987,1,0,5,95,33742
648,10,5,10,527,2238,2134,0,0,6,82,33269
649,11,6,10,1291,1156,609,0,0,0,65,43833
650,12,7,10,407,1575,1011,0,0,4,92,40301
651,13,1,10,1209,2143,1810,1,1,1,96,50283
652,14,2,10,657,1219,926,1,1,8,84,45098
653,15,3,10,1376,1150,799,0,0,0,76,35559
654,16,4,10,473,2310,2149,0,0,5,99,34200
655,17,5,10,651,1337,741,0,0,6,72,31629
656,18,6,10,656,1370,1176,0,0,30,90,34399
657,19,7,10,301,1295,1177,1,0,4,71,40923
658,20,1,10,1005,2610,2265,0,0,8,78,40332
659,21,2,10,578,1309,785,0,0,7,83,30219
660,22,3,10,538,2492,2221,0,0,0,80,35707
661,23,4,10,637,1557,1312,1,1,0,93,56766
662,24,5,10,457,1763,1373,0,0,20,81,30435
663,25,6,10,921,2431,2018,1,0,26,65,47352
664,26,7,10,1156,1524,1107,0,0,11,84,43789
665,27,1,10,491,1319,1096,1,0,4,77,32222
666,28,2,10,1349,2165,1636,0,0,21,77,41443
667,29,3,10,1333,1929,1412,0,0,14,73,41636
668,30,4,10,584,2466,2246,0,0,0,81,38802
669,31,5,10,1261,2579,2384,0,0,4,70,42187
670,1,6,11,1021,1812,1664,0,0,6,70,45375
671,2,7,11,315,1743,1567,0,0,9,94,39606
672,3,1,11,886,2127,1653,0,0,4,74,37239
673,4,2,11,695,2005,1851,1,1,17,63,47111
674,5,3,11,1083,1123,568,0,0,18,81,30398
675,6,4,11,452,1966,1528,0,0,13,67,30749
